arg-id,x,y,probability,cluster-id
A185001345000000001_0,-3.6113732,7.599897,1.0,5
A185001345000000001_1,-3.9294946,7.3841424,0.9591919560170549,5
A185001345000000002_0,-1.49772,7.9382944,1.0,0
A185001345000000002_1,-1.9357051,7.982909,1.0,0
A185001345000000002_2,-2.5830781,8.964269,1.0,4
A185001345000000002_3,-2.6938396,9.488763,1.0,2
A185001345000000003_0,-2.730733,6.7191997,1.0,3
A185001345000000003_1,-2.2530668,8.715616,1.0,4
A185001345000000003_2,-2.4940832,7.9513736,1.0,0
A185001345000000003_3,-2.5899866,8.372672,1.0,4
A185001345000000003_4,-3.9893432,7.8568597,1.0,1
A185001345000000004_0,-2.0354662,6.220871,0.8349338446865687,3
A185001345000000004_1,-4.6600475,7.7152796,0.7752496338221959,1
A185001345000000004_2,-4.3986635,7.299083,0.9299607436809603,5
A185001345000000004_3,-3.3318915,6.4065933,0.9280617984169748,5
A185001345000000004_4,-4.2903104,8.174475,0.8485912216584349,1
A185001345000000005_0,-3.0162468,8.41232,1.0,4
A185001345000000005_1,-2.9138079,8.134853,1.0,4
A185001345000000005_2,-3.753709,8.220762,0.8485912216584349,1
A185001345000000005_3,-1.9317422,8.356806,1.0,6
A185001345000000005_4,-4.1518354,8.696973,0.7363277623145249,1
A185001345000000006_0,-1.7459267,6.530567,1.0,3
A185001345000000006_1,-1.7115958,6.9957585,1.0,3
A185001345000000007_0,-3.3447456,9.244241,1.0,2
A185001345000000007_1,-3.1664462,7.0265694,1.0,5
A185001345000000008_0,-2.3738391,6.84874,1.0,3
A185001345000000008_1,-1.5478929,9.225285,0.0,6
A185001345000000009_0,-1.8844657,9.052563,1.0,6
A185001345000000009_1,-2.1812856,7.267581,1.0,0
A185001345000000010_0,-3.5607295,6.6738205,1.0,5
A185001345000000010_1,-3.1988487,8.827451,1.0,4
A185001345000000010_2,-3.1178598,9.703309,1.0,2
A185001345000000010_3,-2.6439617,7.375032,1.0,0
A185001345000000011_0,-2.125693,9.747153,0.9541238647312354,2
A185001345000000011_1,-2.3159657,9.475928,1.0,2
A185001345000000012_0,-1.0984337,8.576051,0.0,6
A185001345000000012_1,-1.037459,7.7912574,0.0,0
