arg-id,x,y,probability,cluster-id
A185001345000000001_0,1.6608856,10.5262575,0.0,6
A185001345000000001_1,2.1503577,10.769022,0.700068220890798,6
A185001345000000002_0,0.54077923,8.098858,1.0,2
A185001345000000002_1,-0.118830964,7.547355,1.0,2
A185001345000000002_2,-0.19038145,7.2293477,1.0,1
A185001345000000002_3,-0.1807394,8.3688135,1.0,2
A185001345000000002_4,-0.22425666,6.747371,0.6025607973684989,1
A185001345000000002_5,0.092497714,6.1347394,0.0,3
A185001345000000003_0,2.2497473,9.142803,1.0,5
A185001345000000003_1,2.2826755,9.229831,0.782541489070797,5
A185001345000000003_2,-0.5332099,7.0366535,0.0,1
A185001345000000003_3,1.9519581,9.271725,0.27306356578263913,4
A185001345000000003_4,0.2748659,9.74441,0.0,0
A185001345000000003_5,2.5095859,10.696714,0.5345260220391477,6
A185001345000000004_0,0.7379248,5.969598,0.8593813562176176,3
A185001345000000004_1,2.6605742,10.801981,1.0,6
A185001345000000004_2,2.753588,10.721905,1.0,6
A185001345000000004_3,2.663515,10.061814,0.0,6
A185001345000000004_4,1.9536453,11.121872,1.0,6
A185001345000000005_0,-0.24064398,9.329217,0.0,0
A185001345000000005_1,0.38507378,8.797186,1.0,2
A185001345000000005_2,2.2456732,11.195826,1.0,6
A185001345000000005_3,0.31965506,8.589415,1.0,2
A185001345000000005_4,-0.026550988,8.89324,1.0,2
A185001345000000006_0,2.6210134,8.359135,0.49722680819935733,5
A185001345000000006_1,1.9920884,8.75218,0.8634504674772664,5
A185001345000000007_0,-1.3508157,6.9289026,1.0,1
A185001345000000007_1,2.0534549,9.626921,0.0,4
A185001345000000007_2,1.5567007,9.279998,1.0,4
A185001345000000007_3,2.88524,10.43888,1.0,6
A185001345000000008_0,2.1657786,9.129956,1.0,5
A185001345000000008_1,0.7703024,9.575428,0.0,4
A185001345000000009_0,-1.3687052,7.2866983,1.0,1
A185001345000000009_1,0.59184134,10.069946,0.7970466413769615,0
A185001345000000010_0,1.3526136,8.675926,0.9873294156981552,4
A185001345000000010_1,-1.3555399,6.837304,1.0,1
A185001345000000010_2,0.54240316,10.279516,1.0,0
A185001345000000011_0,-1.3443493,7.0628576,1.0,1
A185001345000000011_1,-1.1966163,6.6475554,0.8321628247424319,1
A185001345000000012_0,-0.9533599,7.1381063,1.0,1
A185001345000000012_1,0.4632853,7.9990582,1.0,2
A185001345000000013_0,2.7067432,9.777184,0.0,6
A185001345000000013_1,2.3212008,7.4514937,1.0,5
A185001345000000013_2,0.9127588,8.977027,0.9313488844079358,4
A185001345000000013_3,0.24693817,9.107045,1.0,2
A185001345000000013_4,2.7420757,10.707974,1.0,6
A185001345000000014_0,-0.8760935,8.32728,1.0,2
A185001345000000014_1,0.86398727,7.6367044,0.6867804206336542,2
A185001345000000014_2,-1.0218027,8.848046,0.6585876234336963,2
A185001345000000014_3,-0.9518367,8.955281,0.9023668210222513,2
A185001345000000014_4,0.8976245,9.980139,0.6920150081657206,0
A185001345000000015_0,0.30155838,7.4126143,1.0,2
A185001345000000015_1,1.3688949,6.6569476,1.0,3
A185001345000000016_0,0.6186529,6.9148164,1.0,3
A185001345000000016_1,0.9692211,6.816657,0.6943697468082249,3
A185001345000000018_0,1.5153263,7.3066463,0.0,2
A185001345000000018_1,0.29780078,8.278176,1.0,2
A185001345000000018_2,1.4305972,7.4862704,0.7372972615675324,2
A185001345000000019_0,2.05891,10.484618,0.0,6
A185001345000000019_1,2.0714152,8.569621,1.0,5
A185001345000000019_2,0.07416793,10.114788,1.0,0
A185001345000000019_3,-0.10941872,10.015945,0.8067605782887001,0
A185001345000000019_4,-0.2800208,9.730865,0.76458544463307,0
A185001345000000019_5,-0.39753348,9.82167,0.7529947337352888,0
A185001345000000019_6,1.6394457,9.469709,1.0,4
A185001345000000020_0,-0.22408186,6.048981,1.0,3
A185001345000000020_1,-0.19155364,6.3143954,0.8093524008120516,3
A185001345000000021_0,1.1503108,7.678084,1.0,2
A185001345000000021_1,2.4075012,8.160785,0.0,5
A185001345000000021_2,2.8363783,8.094557,1.0,5
A185001345000000021_3,2.9283695,7.90337,0.6113203746143137,5
A185001345000000021_4,2.9057574,7.9849706,1.0,5
A185001345000000022_0,2.5546978,8.581306,0.453467802516303,5
A185001345000000023_0,1.0143801,5.938691,0.6547176165635575,3
A185001345000000023_1,1.1402348,6.2835026,0.7667688201070467,3
A185001345000000023_2,1.4285891,5.9870567,1.0,3
A185001345000000023_3,0.7689201,6.531487,0.6943697468082249,3
A185001345000000024_0,0.19703922,8.03547,1.0,2
A185001345000000024_1,-0.23322108,7.636808,0.8356168198834107,2
A185001345000000024_2,0.9293582,8.023896,1.0,2
A185001345000000024_3,0.4766517,7.5875077,0.0,2
A185001345000000024_4,0.96753925,6.594583,0.725896076609247,3
A185001345000000025_0,-0.9140087,9.273035,1.0,0
A185001345000000025_1,-0.7378471,9.312321,1.0,0
A185001345000000025_2,-0.95721114,9.500094,1.0,0
A185001345000000026_0,-0.4778273,8.05166,0.0,2
A185001345000000026_1,2.030971,11.283339,1.0,6
A185001345000000026_2,1.7404745,6.474443,0.7461215459251161,3
A185001345000000026_3,0.8942409,9.056699,1.0,4
A185001345000000027_0,1.6124668,6.902544,0.0,3
A185001345000000027_1,2.330898,8.759415,0.9431957181094044,5
A185001345000000028_0,-0.15369765,6.1335516,1.0,3
A185001345000000028_1,-0.11528876,5.7366567,0.0,3
A185001345000000028_2,-0.040089086,5.660888,0.0,3
A185001345000000028_3,2.497403,11.202253,0.7255692612459299,6
A185001345000000028_4,0.20841973,9.271581,1.0,0
A185001345000000028_5,2.2616718,11.2008,0.9407482084119332,6
A185001345000000029_0,0.66177696,6.0335326,1.0,3
A185001345000000029_1,-0.040426996,9.275862,1.0,0
A185001345000000030_0,0.5987819,7.2255363,1.0,2
A185001345000000030_1,0.14213815,6.886246,0.521645474038518,1
A185001345000000030_2,-0.15999874,7.083996,0.7988072641966578,1
A185001345000000030_3,0.58720684,8.910114,1.0,2
A185001345000000030_4,2.5031016,8.908078,0.0,5
A185001345000000031_0,0.77608705,8.156637,1.0,2
A185001345000000031_1,1.273026,8.909494,1.0,4
A185001345000000031_2,0.24760124,7.08991,1.0,2
A185001345000000031_3,-0.42112884,7.384132,0.0,1
A185001345000000031_4,1.3105782,8.25502,1.0,2
A185001345000000032_0,1.5012839,8.256737,1.0,2
A185001345000000032_1,-0.033456277,7.41958,1.0,2
A185001345000000032_2,0.51838845,8.4148035,1.0,2
A185001345000000032_3,1.0672361,8.7659235,0.9709331978712441,4
A185001345000000032_4,-0.051273633,9.062297,1.0,2
A185001345000000033_0,-1.0541935,7.37113,1.0,1
A185001345000000033_1,-1.0263622,8.149439,1.0,1
A185001345000000033_2,-1.1277364,7.740614,1.0,1
A185001345000000033_3,-1.2604485,7.5307508,1.0,1
A185001345000000033_4,-1.056479,8.189197,1.0,1
A185001345000000034_0,1.4535433,6.4302583,1.0,3
A185001345000000034_1,1.2304283,9.048644,1.0,4
A185001345000000035_0,1.9712174,7.327924,0.46355799607583653,5
A185001345000000035_1,2.0505707,7.222567,0.4853829256481846,5
A185001345000000036_0,2.1880245,8.599323,1.0,5
A185001345000000036_1,-1.0999218,7.6913404,1.0,1
A185001345000000036_2,0.30316064,9.450067,0.9087742001706398,0
A185001345000000036_3,-1.1326798,8.396316,0.8762388084469874,1
A185001345000000037_0,-0.75974804,7.4396563,0.8831376220585002,1
A185001345000000038_0,-0.3070543,8.808826,0.9173684287057289,2
A185001345000000038_1,-0.8842948,7.6436753,1.0,1
A185001345000000038_2,0.76463604,9.638007,0.6920150081657206,0
A185001345000000039_0,2.2310598,9.134336,1.0,5
A185001345000000039_1,1.5972153,9.085926,0.0,4
A185001345000000039_2,1.0487127,9.210923,1.0,4
A185001345000000039_3,1.1907972,8.760588,1.0,4
A185001345000000039_4,1.1636685,9.30288,0.926855716488835,4
A185001345000000039_5,1.4290333,8.121406,1.0,2
A185001345000000039_6,2.170693,11.029213,1.0,6
A185001345000000040_0,1.1632657,7.5202036,1.0,2
A185001345000000040_1,1.1751902,6.3338075,0.921349305412691,3
A185001345000000040_2,1.1618459,7.141947,0.0,2
A185001345000000040_3,2.9470809,10.454424,0.9730386174776376,6
A185001345000000041_0,-0.31849363,8.038231,0.0,2
A185001345000000041_1,-0.042877067,8.704771,0.946440605082731,2
A185001345000000041_2,-0.31269628,6.157042,1.0,3
A185001345000000042_0,1.4190338,6.4313636,1.0,3
A185001345000000042_1,0.3943712,10.370041,1.0,0
A185001345000000042_2,2.9508865,10.171539,1.0,6
